Trace
Swept SA
A.10.52,N9000A
138170000,-77.2446198091961
138489000,-76.9187870450432
138808000,-77.4870999523471
139127000,-77.4158952963449
139446000,-76.5509838901346
139765000,-77.0553915880946
140084000,-77.3664251769891
140403000,-76.7703884456101
140722000,-77.2365882112498
141041000,-77.9135031478264
141360000,-77.2857272284024
141679000,-77.0400436913038
141998000,-76.4718152051136
142317000,-77.6506645274703
142636000,-77.5057337611654
142955000,-78.2036352639381
143274000,-77.3627112077774
143593000,-76.9920524344332
143912000,-76.8899987945908
144231000,-77.2084254443992
144550000,-77.2869392921484
144869000,-77.2421634574224
145188000,-77.440250142268
145507000,-76.9156393398323
145826000,-76.0497185839163
146145000,-76.823302122115
146464000,-76.8734067729875
146783000,-76.7425835142733
147102000,-76.1123085584885
